date,open,high,low,close,adjclose,volume,ratio
1/11/2023,288.8,290,284.4,287,287,11006036,0.0962
2/11/2023,290,294.2,286.8,288.6,288.6,10477412,0.0962
3/11/2023,292.2,304.2,291.4,302.6,302.6,21575201,0.096
6/11/2023,309.8,314.2,307.2,312.6,312.6,26863379,0.0959
7/11/2023,312.6,314,306.2,308.6,308.6,13397743,0.0961
8/11/2023,309.4,314.6,307.4,308.4,308.4,12879809,0.0967
9/11/2023,305,308.8,305,306.8,306.8,10272208,0.0967
10/11/2023,304.6,304.6,301.2,302.8,302.8,9871831,0.0966
13/11/2023,302.2,311.8,300.2,309.8,309.8,13586029,0.0967
14/11/2023,311.8,312,305.6,307.8,307.8,12477388,0.0967
15/11/2023,316.6,323.6,314,322.6,322.6,32454690,0.0967
16/11/2023,330,330,316.2,324.8,324.8,35296026,0.0966
17/11/2023,323.6,323.6,313.2,315.2,315.2,21970164,0.0961
20/11/2023,316.2,328.8,316.2,326.6,326.6,27782719,0.096
21/11/2023,330.4,332.6,323.6,324.8,324.8,24188659,0.0963
22/11/2023,328,330,322,324.4,324.4,14169841,0.0959
23/11/2023,326.6,329.6,323.6,329.2,329.2,14531153,0.0956
24/11/2023,329.6,329.6,320,321.2,321.2,15236522,0.0954
27/11/2023,325,325,318,322.8,322.8,12232068,0.0952
28/11/2023,324.4,324.4,317,319.6,319.6,15153725,0.0951
29/11/2023,323,324,313.6,317,317,16856744,0.0949
30/11/2023,317.4,327,317,327,327,30308092,0.0951
1/12/2023,324.8,325.8,319,319,319,15149684,0.095
4/12/2023,323,324.2,315.2,316.8,316.8,14907238,0.0948
5/12/2023,321,321,305,308.8,308.8,23730039,0.0949
6/12/2023,306.6,314.8,302.4,311.6,311.6,15896242,0.0948
7/12/2023,309,311.2,304,307.8,307.8,13703651,0.0946
8/12/2023,307.4,309.2,301,305.6,305.6,16600566,0.0946
11/12/2023,300.8,308.6,298.4,307.2,307.2,18402157,0.0944
12/12/2023,307,311.8,306.2,311.4,311.4,12995914,0.0944
13/12/2023,309.6,310.8,304.4,307,307,14145125,0.0943
14/12/2023,310,314,304.6,306.4,306.4,17198776,0.0943
15/12/2023,311,319.4,309,314.4,314.4,30917917,0.0941
18/12/2023,309.6,312.6,309.6,311.6,311.6,12094993,0.0939
19/12/2023,311,314.4,306.6,311.8,311.8,12530326,0.0933
20/12/2023,316.2,318.2,312.2,314.2,314.2,14187408,0.0933
21/12/2023,309.2,313.6,309,312.6,312.6,10167030,0.0932
22/12/2023,317,317,263.6,274,274,147014902,0.093
27/12/2023,282.2,291,282.2,285,285,64471032,0.0929
28/12/2023,285,295.6,284.8,293,293,37840686,0.0919
29/12/2023,295,295.8,289.6,293.6,293.6,19624685,0.092
2/1/2024,300,305,294.4,296.6,296.6,23354069,0.0925
3/1/2024,294,301.6,292.4,300.6,300.6,20391718,0.0926
4/1/2024,304.4,304.4,298,298.8,298.8,20217430,0.0926
5/1/2024,295.4,296.6,289.6,292.2,292.2,23745017,0.0926
8/1/2024,294.399994,294.600006,285.200012,288,288,16718452,0.0924
9/1/2024,286,289.200012,283.399994,283.600006,283.600006,16927478,0.0919
10/1/2024,282,285.200012,276.799988,280.200012,280.200012,19146068,0.0917
11/1/2024,280.600006,292.399994,280,287.399994,287.399994,20604580,0.0913
12/1/2024,285.600006,293,284.799988,288.399994,288.399994,15770055,0.091
15/1/2024,290,293.799988,287.600006,289.399994,289.399994,16334371,0.0909
16/1/2024,283.799988,288.799988,280,282.399994,282.399994,22236094,0.0908
17/1/2024,277,278.799988,272.200012,274.600006,274.600006,36114167,0.0907
18/1/2024,274.600006,279.200012,271.200012,277.600006,277.600006,24604079,0.091
19/1/2024,275,282.600006,268.399994,271.200012,271.200012,26897479,0.0912
22/1/2024,270.600006,271.600006,260.200012,262.200012,262.200012,33654810,0.0912
23/1/2024,266.799988,278.200012,263.200012,272,272,35610787,0.0913
24/1/2024,279.600006,284.399994,272.200012,281.799988,281.799988,33863638,0.0913
25/1/2024,285,292,280.799988,290.799988,290.799988,34160783,0.0911
26/1/2024,288.200012,290.200012,281.200012,282.799988,282.799988,24815795,0.0908
29/1/2024,286,288.399994,279.399994,282,282,20159014,0.0904
30/1/2024,277.200012,280,273,273.799988,273.799988,21505998,0.0903
31/1/2024,273.799988,278,268.399994,270.600006,270.600006,20052974,0.0899
1/2/2024,270,277.799988,268,271.600006,271.600006,17329472,0.0898
2/2/2024,284.600006,287.600006,275,279.399994,279.399994,31053753,0.0897
5/2/2024,278.399994,283.399994,273.799988,279.600006,279.600006,20456590,0.0895
6/2/2024,279.799988,292.600006,279.600006,290.799988,290.799988,28856902,0.0893
7/2/2024,295,297,288.799988,292.200012,292.200012,26343654,0.0891
8/2/2024,290,293.200012,286.399994,287.200012,287.200012,17910672,0.0891
9/2/2024,284.600006,287.399994,281.399994,287.200012,287.200012,6732059,0.0891
14/2/2024,287,291.200012,282,290,290,11567444,0.089
15/2/2024,287,290,285,285.399994,285.399994,12568028,0.089
16/2/2024,285.600006,291.799988,280.399994,291.799988,291.799988,17215356,0.089
19/2/2024,291.399994,291.399994,283.799988,284.799988,284.799988,15415304,0.089
20/2/2024,287,287.799988,280.399994,284.200012,284.200012,15773028,0.089
21/2/2024,280.799988,294.600006,280.799988,288.799988,288.799988,23947218,0.0889
22/2/2024,288.200012,291.399994,286.799988,291.399994,291.399994,12441270,0.0889
23/2/2024,290,296.399994,287,290.799988,290.799988,13229798,0.0889
26/2/2024,287.399994,290.200012,285.399994,287.200012,287.200012,12412426,0.089
27/2/2024,286.200012,286.200012,278.200012,284.600006,284.600006,23612599,0.089
28/2/2024,285,285.799988,276.399994,277,277,25903478,0.0889
29/2/2024,275.200012,279,274.600006,277.200012,277.200012,29721885,0.0886
1/3/2024,273,279,271.799988,277.399994,277.399994,27952651,0.0884
4/3/2024,277.399994,280,274.799988,276.200012,276.200012,13832089,0.0882
5/3/2024,270.200012,273.200012,266.200012,268.200012,268.200012,26055083,0.0882
6/3/2024,266,277,265.799988,274.600006,274.600006,23289346,0.0881
7/3/2024,274.799988,275.600006,269.200012,271,271,17159729,0.0884
8/3/2024,272,275.600006,270,270,270,12416156,0.0887
11/3/2024,271.200012,278.600006,271.200012,278.600006,278.600006,17866889,0.0887
12/3/2024,282,292.600006,280.200012,290.799988,290.799988,36531141,0.0889
13/3/2024,291.399994,294,288.600006,290.600006,290.600006,20074418,0.0889
14/3/2024,289.399994,294,286.799988,289.200012,289.200012,14227432,0.0891
15/3/2024,283,286.200012,279.600006,283.799988,283.799988,29183023,0.0892
18/3/2024,282.200012,291.399994,282.200012,289.799988,289.799988,19633305,0.0892
19/3/2024,289,291.200012,285,285,285,15635351,0.0891
20/3/2024,285.399994,290.200012,283,288.799988,288.799988,15622235,0.0891
21/3/2024,295.200012,298.200012,289.600006,291.200012,291.200012,36868686,0.0893
22/3/2024,287.399994,290.399994,282.399994,288.799988,288.799988,26432205,0.0893
25/3/2024,288.799988,290.600006,285,288.600006,288.600006,21127168,0.0898
26/3/2024,286,300.600006,286,299.399994,299.399994,33998571,0.0903
27/3/2024,296,307.600006,295.799988,302,302,38753084,0.0903
28/3/2024,302,309.600006,301.399994,303.799988,303.799988,30000843,0.0905
2/4/2024,309,312.399994,307.799988,309.200012,309.200012,26561604,0.0908
3/4/2024,312,312,306.399994,308.399994,308.399994,19696947,0.0913
5/4/2024,309.600006,311.600006,304.399994,310,310,13582369,0.0913
8/4/2024,305.200012,311,304.399994,305.399994,305.399994,21656541,0.0914
9/4/2024,307.399994,308.799988,303,305,305,17879375,0.0916
10/4/2024,306.399994,315.200012,306.399994,314.200012,314.200012,24730145,0.0917
11/4/2024,309.799988,316.600006,309,315,315,18834968,0.0916
12/4/2024,314,318,309.399994,309.600006,309.600006,23031342,0.0916
15/4/2024,304.600006,308.799988,303.799988,304.399994,304.399994,18295291,0.0916
16/4/2024,301.200012,308.399994,300,301.799988,301.799988,19691636,0.0916
17/4/2024,301.799988,304,297.799988,300.799988,300.799988,14410544,0.0918
