stockcode,stockname,industry,change%,MarketCap,display
1,CKH HOLDINGS,Conglomerates,-1.2,158180655104,1<BR>CKH HOLDINGS<BR>-1.2%<BR><a target='_self' href='../quote/1'>quote</a>
2,CLP HOLDINGS,Utilities,0.0,163082354688,2<BR>CLP HOLDINGS<BR>+0.0%<BR><a target='_self' href='../quote/2'>quote</a>
3,HK & CHINA GAS,Utilities,-0.81,114571780096,3<BR>HK & CHINA GAS<BR>-0.81%<BR><a target='_self' href='../quote/3'>quote</a>
4,WHARF HOLDINGS,Properties & Construction,1.42,65399037952,4<BR>WHARF HOLDINGS<BR>+1.42%<BR><a target='_self' href='../quote/4'>quote</a>
5,HSBC HOLDINGS,Financials,0.33,1354347184128,5<BR>HSBC HOLDINGS<BR>+0.33%<BR><a target='_self' href='../quote/5'>quote</a>
6,POWER ASSETS,Utilities,-0.65,113694720000,6<BR>POWER ASSETS<BR>-0.65%<BR><a target='_self' href='../quote/6'>quote</a>
8,PCCW,Telecommunications,0.0,34447716352,8<BR>PCCW<BR>+0.0%<BR><a target='_self' href='../quote/8'>quote</a>
11,HANG SENG BANK,Financials,-0.1,179286212608,11<BR>HANG SENG BANK<BR>-0.1%<BR><a target='_self' href='../quote/11'>quote</a>
12,HENDERSON LAND,Properties & Construction,-1.05,114256805888,12<BR>HENDERSON LAND<BR>-1.05%<BR><a target='_self' href='../quote/12'>quote</a>
13,HUTCHMED,Healthcare,0.45,20143009792,13<BR>HUTCHMED<BR>+0.45%<BR><a target='_self' href='../quote/13'>quote</a>
14,HYSAN DEV,Properties & Construction,-1.66,12180337664,14<BR>HYSAN DEV<BR>-1.66%<BR><a target='_self' href='../quote/14'>quote</a>
16,SHK PPT,Properties & Construction,-0.6,214451994624,16<BR>SHK PPT<BR>-0.6%<BR><a target='_self' href='../quote/16'>quote</a>
17,NEW WORLD DEV,Properties & Construction,-3.62,12733996032,17<BR>NEW WORLD DEV<BR>-3.62%<BR><a target='_self' href='../quote/17'>quote</a>
19,SWIRE PACIFIC A,Conglomerates,0.92,89978290176,19<BR>SWIRE PACIFIC A<BR>+0.92%<BR><a target='_self' href='../quote/19'>quote</a>
20,SENSETIME-W,Information Technology,-0.65,56251248640,20<BR>SENSETIME-W<BR>-0.65%<BR><a target='_self' href='../quote/20'>quote</a>
